Title,Artist,Harmony
"""Uptown Funk""",Mark Ronson featuring Bruno Mars,"[1, 4, 1, 4, 1, 4, 1, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 1, 1, 0, 2, 3, 0, 4, 0, 5, 6, 0, 7, 0, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 1, 1, 0, 2, 3, 0, 4, 0, 5, 6, 0, 7, 0, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4, 1, 1, 1, 4, 1, 4, 1, 4, 1, 4, 1, 4]"
"""Thinking Out Loud""",Ed Sheeran,"[1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 2, 5, 1, 2, 5, 2, 5, 6, 2, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 6, 5, 4, 1, 2, 5, 1, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 2, 5, 1, 2, 5, 2, 5, 6, 2, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 6, 5, 4, 1, 2, 5, 1, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 6, 5, 4, 1, 2, 5, 1, 6, 5, 4, 1, 2, 5, 1, 6, 5, 4, 1, 2, 5, 1]"
"""See You Again""",Wiz Khalifa featuring Charlie Puth,not found
"""Trap Queen""",Fetty Wap,"[1, 4, 6, 7, 1, 4, 6, 7, 1, 6, 4, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 4, 6, 7, 1, 1, 4, 7, 1, 4, 6, 7, 1, 4, 6, 7]"
"""Sugar""",Maroon 5,not found
"""Shut Up and Dance""",Walk the Moon,"[1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 4, 6, 1, 4, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5, 1, 4, 6, 5]"
"""Blank Space""",Taylor Swift,"[1, 4, 2, 0, 1, 1, 4, 2, 0, 1, 0, 1, 4, 2, 5, 0, 4, 4, 2, 5, 0, 0, 4, 4, 2, 0, 1, 1, 4, 2, 0, 1, 0, 4, 2, 5, 0, 4, 4, 2, 5, 0, 0, 4, 4, 4, 4, 2, 5, 0, 4, 2, 5, 0, 0]"
"""Watch Me""",Silentó,not found
"""Earned It""",The Weeknd,"[1, 5, 1, 2, 5, 1, 1, 5, 5, 1, 5, 1, 5, 1, 1, 5, 5, 1, 5, 1, 5, 1, 1, 5, 5, 1, 5, 1, 5, 1, 1, 5, 5, 1, 5, 1, 1, 5, 5, 1, 5, 4, 1, 7, 5, 4, 0, 3, 5, 4, 0, 3, 5, 4, 0, 3, 5, 4, 0, 3, 5, 4, 0, 3, 5, 4, 0, 3]"
"""The Hills""",The Weeknd,"[1, 1, 1, 1, 5, 3, 1, 3, 5, 3, 1, 3, 5, 3, 1, 3, 5, 3, 1, 3, 5, 3, 1, 3, 5, 3, 1, 3, 5, 3, 1, 3, 5, 3, 1, 3, 5, 4, 1, 3, 5, 4, 1, 3, 5, 3, 1, 3, 5, 3, 1, 3, 5, 4, 1, 3]"
